PWSID,pfas_detected,Is Wholesaler,Is Source Water Protected,# of Facilities,PWS Type_Community water system,PWS Type_Non-Transient non-community system,PWS Type_Transient non-community system,Primary Source_Ground water,Primary Source_Ground water purchased,Primary Source_Groundwater under influence of surface water,Primary Source_Surface water,Primary Source_Surface water purchased,Service Area_Municipality,Service Area_Residential Area,Service Area_Institution,Service Area_School,Service Area_Industrial/Agricultural,geochem_U_count,seller_chain_depth,treat_gac,treat_pac,treat_mfl,treat_iex,treat_con,treat_gwd,disinfect_none,disinfect_uv,disinfect_ozone,sdwa_treated,sdwa_filtered,is_purchased,source_water_pct,source_agriculture_pct,source_urban_pct,source_forest_pct,source_grassland_pct,source_shrub_pct,source_wetland_pct,source_barren_pct,source_other_pct,log_Population Served Count,log_Service Connections Count,log_dist_industry_km,log_dist_fuds_km,log_dist_military_km,log_count_industry_in_huc12,log_count_discharge_in_huc12,log_count_manufacturer_in_huc12,log_count_fuds_in_huc12,log_count_military_in_huc12,log_well_top_open_ft,log_well_screen_len_ft,log_dist_wwtp_km,log_count_wwtp_in_huc12,log_dist_airport_km,log_count_airports_in_huc12,log_dist_landfill_km,log_count_landfills_in_huc12,FWT_GU,FWT_GW,FWT_MX,FWT_SW,ROCK_100,ROCK_200,ROCK_300,ROCK_400,ROCK_500,ROCK_600,ROCK_999,ROCK_missing,precip_mm_ann,log_dist_pfas_clustered_km
CT0170011,1.0,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,10.860536276882453,9.700330435154036,0.929404371019538,2.30923294696551,3.627432150237396,2.8903717578961645,0.0,0.0,0.0,0.0,3.984860345143624,2.990161249815693,0.9886113934537812,1.3862943611198906,3.659605111409941,0.0,3.6070536994231066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1352.4940185546875,2.3028650538013617
CT0170011,1.0,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,10.860536276882453,9.700330435154036,0.929404371019538,2.30923294696551,3.627432150237396,2.8903717578961645,0.0,0.0,0.0,0.0,3.984860345143624,2.990161249815693,0.9886113934537812,1.3862943611198906,3.659605111409941,0.0,3.6070536994231066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1352.4940185546875,2.3028650538013617
CT0230011,0.0,0.0,1.0,13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,8.752265313595721,7.554334823725748,0.7537247424455495,3.414501817185618,3.2043264948116543,2.772588722239781,0.0,0.0,1.0986122886681098,0.0,,,2.8131786898438733,1.0986122886681098,3.4344354910864654,0.6931471805599453,4.0212325042376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1268.4639892578125,3.4514658177284447
CT0230011,1.0,0.0,1.0,13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,8.752265313595721,7.554334823725748,0.7537247424455495,3.414501817185618,3.2043264948116543,2.772588722239781,0.0,0.0,1.0986122886681098,0.0,4.255612709818223,2.6741486494265287,2.8131786898438733,1.0986122886681098,3.4344354910864654,0.6931471805599453,4.0212325042376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1268.4639892578125,3.4514658177284447
CT0261031,0.0,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1383,0.4597,53.0052,29.4814,0.3665,0.0817,14.0204,1.4468,0.0,8.523374050491318,7.8713112033234065,0.7537247424455495,3.414501817185618,3.2043264948116543,2.772588722239781,0.0,0.0,1.0986122886681098,0.0,4.255612709818223,2.6741486494265287,2.8131786898438733,1.0986122886681098,3.4344354910864654,0.6931471805599453,4.0212325042376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1268.4639892578125,3.4514658177284447
CT0261031,0.0,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1383,0.4597,53.0052,29.4814,0.3665,0.0817,14.0204,1.4468,0.0,8.523374050491318,7.8713112033234065,0.7537247424455495,3.414501817185618,3.2043264948116543,2.772588722239781,0.0,0.0,1.0986122886681098,0.0,,,2.8131786898438733,1.0986122886681098,3.4344354910864654,0.6931471805599453,4.0212325042376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1268.4639892578125,3.4514658177284447
CT0280011,1.0,0.0,1.0,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9149,5.9828,19.439,57.0147,0.5201,0.1937,15.6517,0.283,0.0,8.299285906897275,7.650168700845001,0.850749041063435,3.0185890556969186,3.219843356658328,0.6931471805599453,0.0,0.0,0.0,0.0,3.895215990561177,4.972641074585803,2.9301371944555807,0.0,3.624287598220759,0.0,3.381671316119248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1315.8170166015625,3.5255984696201144
CT0280011,1.0,0.0,1.0,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9149,5.9828,19.439,57.0147,0.5201,0.1937,15.6517,0.283,0.0,8.299285906897275,7.650168700845001,0.850749041063435,3.0185890556969186,3.219843356658328,0.6931471805599453,0.0,0.0,0.0,0.0,3.895215990561177,4.972641074585803,2.9301371944555807,0.0,3.624287598220759,0.0,3.381671316119248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1315.8170166015625,3.5255984696201144
CT0280011,1.0,0.0,1.0,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9149,5.9828,19.439,57.0147,0.5201,0.1937,15.6517,0.283,0.0,8.299285906897275,7.650168700845001,0.850749041063435,3.0185890556969186,3.219843356658328,0.6931471805599453,0.0,0.0,0.0,0.0,3.895215990561177,4.972641074585803,2.9301371944555807,0.0,3.624287598220759,0.0,3.381671316119248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1315.8170166015625,3.5255984696201144
CT0280011,1.0,0.0,1.0,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9149,5.9828,19.439,57.0147,0.5201,0.1937,15.6517,0.283,0.0,8.299285906897275,7.650168700845001,0.850749041063435,3.0185890556969186,3.219843356658328,0.6931471805599453,0.0,0.0,0.0,0.0,3.895215990561177,4.972641074585803,2.9301371944555807,0.0,3.624287598220759,0.0,3.381671316119248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1315.8170166015625,3.5255984696201144
